Timestamp: 2008.08.27. 13:41:06
Both: 1.0
Looser: -3.0
Neither: 0.0
Winner: 4.0


"run"|"tick"|"Strat2"|"Strat1"|"RngSeed"|"payoff1"|"payoff2"
239|10000.0|0|3|14|5008.0|5015.0
240|10000.0|0|3|15|4947.0|4954.0
241|10000.0|1|3|1|-3.0|4.0
242|10000.0|1|3|2|-3.0|4.0
243|10000.0|1|3|3|-3.0|4.0
244|10000.0|1|3|4|-3.0|4.0
245|10000.0|1|3|5|-3.0|4.0
246|10000.0|1|3|6|-3.0|4.0
247|10000.0|1|3|7|-3.0|4.0
248|10000.0|1|3|8|-3.0|4.0
249|10000.0|1|3|9|-3.0|4.0
250|10000.0|1|3|10|-3.0|4.0
251|10000.0|1|3|11|-3.0|4.0
252|10000.0|1|3|12|-3.0|4.0
253|10000.0|1|3|13|-3.0|4.0
254|10000.0|1|3|14|-3.0|4.0
255|10000.0|1|3|15|-3.0|4.0
256|10000.0|2|3|1|10000.0|10000.0
257|10000.0|2|3|2|10000.0|10000.0
258|10000.0|2|3|3|10000.0|10000.0
259|10000.0|2|3|4|10000.0|10000.0
260|10000.0|2|3|5|10000.0|10000.0
261|10000.0|2|3|6|10000.0|10000.0
262|10000.0|2|3|7|10000.0|10000.0
263|10000.0|2|3|8|10000.0|10000.0
264|10000.0|2|3|9|10000.0|10000.0
265|10000.0|2|3|10|10000.0|10000.0
266|10000.0|2|3|11|10000.0|10000.0
267|10000.0|2|3|12|10000.0|10000.0
268|10000.0|2|3|13|10000.0|10000.0
269|10000.0|2|3|14|10000.0|10000.0
270|10000.0|2|3|15|10000.0|10000.0
271|10000.0|3|3|1|10000.0|10000.0
272|10000.0|3|3|2|10000.0|10000.0
273|10000.0|3|3|3|10000.0|10000.0
274|10000.0|3|3|4|10000.0|10000.0
275|10000.0|3|3|5|10000.0|10000.0
276|10000.0|3|3|6|10000.0|10000.0
277|10000.0|3|3|7|10000.0|10000.0
278|10000.0|3|3|8|10000.0|10000.0
279|10000.0|3|3|9|10000.0|10000.0
280|10000.0|3|3|10|10000.0|10000.0
281|10000.0|3|3|11|10000.0|10000.0
282|10000.0|3|3|12|10000.0|10000.0
283|10000.0|3|3|13|10000.0|10000.0
284|10000.0|3|3|14|10000.0|10000.0
285|10000.0|3|3|15|10000.0|10000.0
286|10000.0|4|3|1|5000.0|5000.0
287|10000.0|4|3|2|5000.0|5000.0
288|10000.0|4|3|3|5000.0|5000.0
289|10000.0|4|3|4|5000.0|5000.0
290|10000.0|4|3|5|5000.0|5000.0
291|10000.0|4|3|6|5000.0|5000.0
292|10000.0|4|3|7|5000.0|5000.0
293|10000.0|4|3|8|5000.0|5000.0
294|10000.0|4|3|9|5000.0|5000.0
295|10000.0|4|3|10|5000.0|5000.0
296|10000.0|4|3|11|5000.0|5000.0
297|10000.0|4|3|12|5000.0|5000.0
298|10000.0|4|3|13|5000.0|5000.0
299|10000.0|4|3|14|5000.0|5000.0
300|10000.0|4|3|15|5000.0|5000.0
301|10000.0|0|4|1|5574.0|4426.0
302|10000.0|0|4|2|5133.0|4867.0
303|10000.0|0|4|3|4972.0|5028.0
304|10000.0|0|4|4|4737.0|5262.0
305|10000.0|0|4|5|4604.0|5395.0
306|10000.0|0|4|6|5294.0|4706.0
307|10000.0|0|4|7|5413.0|4587.0
308|10000.0|0|4|8|4615.0|5385.0
309|10000.0|0|4|9|5448.0|4552.0
310|10000.0|0|4|10|5021.0|4979.0
311|10000.0|0|4|11|5203.0|4797.0
312|10000.0|0|4|12|4902.0|5098.0
313|10000.0|0|4|13|4902.0|5098.0
314|10000.0|0|4|14|5080.0|4919.0
315|10000.0|0|4|15|4653.0|5346.0
316|10000.0|1|4|1|-29997.0|39996.0
317|10000.0|1|4|2|-29997.0|39996.0
318|10000.0|1|4|3|-29997.0|39996.0
319|10000.0|1|4|4|-29997.0|39996.0
320|10000.0|1|4|5|-29997.0|39996.0
321|10000.0|1|4|6|-29997.0|39996.0
322|10000.0|1|4|7|-29997.0|39996.0
323|10000.0|1|4|8|-29997.0|39996.0
324|10000.0|1|4|9|-29997.0|39996.0
325|10000.0|1|4|10|-29997.0|39996.0
326|10000.0|1|4|11|-29997.0|39996.0
327|10000.0|1|4|12|-29997.0|39996.0
328|10000.0|1|4|13|-29997.0|39996.0
329|10000.0|1|4|14|-29997.0|39996.0
330|10000.0|1|4|15|-29997.0|39996.0
331|10000.0|2|4|1|40000.0|-30000.0
332|10000.0|2|4|2|40000.0|-30000.0
333|10000.0|2|4|3|40000.0|-30000.0
334|10000.0|2|4|4|40000.0|-30000.0
335|10000.0|2|4|5|40000.0|-30000.0
336|10000.0|2|4|6|40000.0|-30000.0
337|10000.0|2|4|7|40000.0|-30000.0
338|10000.0|2|4|8|40000.0|-30000.0
339|10000.0|2|4|9|40000.0|-30000.0
340|10000.0|2|4|10|40000.0|-30000.0
341|10000.0|2|4|11|40000.0|-30000.0
342|10000.0|2|4|12|40000.0|-30000.0
343|10000.0|2|4|13|40000.0|-30000.0
344|10000.0|2|4|14|40000.0|-30000.0
345|10000.0|2|4|15|40000.0|-30000.0
346|10000.0|3|4|1|5000.0|5000.0
347|10000.0|3|4|2|5000.0|5000.0
348|10000.0|3|4|3|5000.0|5000.0
349|10000.0|3|4|4|5000.0|5000.0
350|10000.0|3|4|5|5000.0|5000.0
351|10000.0|3|4|6|5000.0|5000.0
352|10000.0|3|4|7|5000.0|5000.0
353|10000.0|3|4|8|5000.0|5000.0
354|10000.0|3|4|9|5000.0|5000.0
355|10000.0|3|4|10|5000.0|5000.0
356|10000.0|3|4|11|5000.0|5000.0
357|10000.0|3|4|12|5000.0|5000.0
358|10000.0|3|4|13|5000.0|5000.0
359|10000.0|3|4|14|5000.0|5000.0
360|10000.0|3|4|15|5000.0|5000.0
361|10000.0|4|4|1|5000.0|5000.0
362|10000.0|4|4|2|5000.0|5000.0
363|10000.0|4|4|3|5000.0|5000.0
364|10000.0|4|4|4|5000.0|5000.0
365|10000.0|4|4|5|5000.0|5000.0
366|10000.0|4|4|6|5000.0|5000.0
367|10000.0|4|4|7|5000.0|5000.0
368|10000.0|4|4|8|5000.0|5000.0
369|10000.0|4|4|9|5000.0|5000.0
370|10000.0|4|4|10|5000.0|5000.0
371|10000.0|4|4|11|5000.0|5000.0
372|10000.0|4|4|12|5000.0|5000.0
373|10000.0|4|4|13|5000.0|5000.0
374|10000.0|4|4|14|5000.0|5000.0
375|10000.0|4|4|15|5000.0|5000.0

End Time: 2008.08.27. 13:48:50
